dataset,key,pad,loss
hcp,attn_reg-1,0,0.8231088305697029
hcp,attn_reg-1,4,0.868164700490457
hcp,cross_reg-1,0,0.8269610669877794
hcp,cross_reg-1,4,0.871351796903728
hcp,crossreg_reg-1,0,0.8762572930182939
hcp,crossreg_reg-1,4,0.881170368488924
hcp,crossreg_reg-4,0,0.8688115749830081
hcp,crossreg_reg-4,4,0.8766809532671799
hcp,crossreg_reg-16,0,0.8651511264436039
hcp,crossreg_reg-16,4,0.8760321890866315
hcp,attn_pep-4,0,0.8637438269309056
hcp,attn_pep-4,4,0.8701631338508041
hcp,cross_pep-4,0,0.868062961248704
hcp,cross_pep-4,4,0.8738854667286814
hcp,crossreg_reg-4_pep-4,0,0.8731860099015413
hcp,crossreg_reg-4_pep-4,4,0.8773593365410228
nsd,attn_reg-1,0,0.8335675152380075
nsd,attn_reg-1,4,0.8772446619930552
nsd,cross_reg-1,0,0.8357458274755905
nsd,cross_reg-1,4,0.8785164107137652
nsd,crossreg_reg-1,0,0.8745759814532835
nsd,crossreg_reg-1,4,0.8822886249912318
nsd,crossreg_reg-4,0,0.8721362014315022
nsd,crossreg_reg-4,4,0.8845876793363201
nsd,crossreg_reg-16,0,0.8680729581348932
nsd,crossreg_reg-16,4,0.8840563501884688
nsd,attn_pep-4,0,0.8677579404702828
nsd,attn_pep-4,4,0.8794477679836217
nsd,cross_pep-4,0,0.8758826771778847
nsd,cross_pep-4,4,0.8872004774079394
nsd,crossreg_reg-4_pep-4,0,0.875685675820308
nsd,crossreg_reg-4_pep-4,4,0.8837896798973652
ukbb,attn_reg-1,0,0.7461191458361489
ukbb,attn_reg-1,4,0.8094375651507151
ukbb,cross_reg-1,0,0.7496763176861263
ukbb,cross_reg-1,4,0.8121134319475719
ukbb,crossreg_reg-1,0,0.8170755753914515
ukbb,crossreg_reg-1,4,0.8230078128122148
ukbb,crossreg_reg-4,0,0.807478557739939
ukbb,crossreg_reg-4,4,0.8182502495391029
ukbb,crossreg_reg-16,0,0.8008750556480317
ukbb,crossreg_reg-16,4,0.8169185249578386
ukbb,attn_pep-4,0,0.8043733586867651
ukbb,attn_pep-4,4,0.8147546911523456
ukbb,cross_pep-4,0,0.8062950975838161
ukbb,cross_pep-4,4,0.8161363509439287
ukbb,crossreg_reg-4_pep-4,0,0.8146800647179285
ukbb,crossreg_reg-4_pep-4,4,0.8209253230265209
